iso_code,continent,location,date,total_cases,total_deaths,total_tests,tests_per_case,total_vaccinations,people_fully_vaccinated,total_vaccinations_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,total_deaths_per_100k
BTN,Asia,Bhutan,2021-02-01,859,1,475254,16634,NA,NA,NA,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,NA,NA,79.807,1.7,71.78,0.612,0.1295988139116551
BOL,South America,Bolivia,2021-02-01,218299,10439,565795,3.1,570,NA,0,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,NA,NA,25.383,1.1,71.51,0.693,89.42837373230205
BIH,Europe,Bosnia and Herzegovina,2021-02-01,122199,4724,597673,7.9,NA,NA,NA,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,30.2,47.7,97.164,3.5,77.4,0.768,143.9886125855923
BWA,Africa,Botswana,2021-02-01,22738,148,NA,NA,NA,NA,NA,2351625,4.044,25.8,3.941,2.242,15807.374,NA,237.372,5.7,34.4,NA,1.8,69.59,0.717,6.293520437995004
BRA,South America,Brazil,2021-02-01,9229322,225099,NA,NA,2124307,NA,1,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,10.1,17.9,NA,2.2,75.88,0.759,105.89933471258381
BRN,Asia,Brunei,2021-02-01,180,3,NA,NA,NA,NA,NA,437483,81.347,32.4,4.591,2.382,71809.251,NA,201.285,2,30.9,NA,2.7,75.86,0.853,0.6857409316476297
BGR,Europe,Bulgaria,2021-02-01,219580,9142,1391560,18.8,42634,NA,0.61,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,30.1,44.4,NA,7.454,75.05,0.813,131.5690057271807
BFA,Africa,Burkina Faso,2021-02-01,10768,121,NA,NA,NA,NA,NA,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,1.6,23.9,11.877,0.4,61.58,0.423,0.578856579336504
BDI,Africa,Burundi,2021-02-01,1635,2,NA,NA,NA,NA,NA,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,NA,NA,6.144,0.8,61.58,0.417,0.016819753050703736
KHM,Asia,Cambodia,2021-02-01,466,NA,NA,NA,NA,NA,NA,16718971,90.672,25.6,4.412,2.385,3645.07,NA,270.892,2,33.7,66.229,0.8,69.82,0.582,NA
CMR,Africa,Cameroon,2021-02-01,29617,462,NA,NA,NA,NA,NA,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,NA,NA,2.735,1.3,59.29,0.556,1.740384114075172
CAN,North America,Canada,2021-02-01,788197,20145,NA,NA,974690,NA,2.58,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,12,16.6,NA,2.5,82.43,0.926,53.37532775352506
CPV,Africa,Cape Verde,2021-02-01,14098,134,NA,NA,NA,NA,NA,555988,135.58,25.7,4.46,3.437,6222.554,NA,182.219,2.1,16.5,NA,2.1,72.98,0.654,24.101239595099177
CAF,Africa,Central African Republic,2021-02-01,4989,63,NA,NA,NA,NA,NA,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,NA,NA,16.603,1,53.28,0.367,1.304411561310242
TCD,Africa,Chad,2021-02-01,3385,121,NA,NA,NA,NA,NA,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,NA,NA,5.818,NA,54.24,0.404,0.7366433621523234
CHL,South America,Chile,2021-02-01,730888,18537,8087817,NA,NA,NA,NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,34.2,41.5,NA,2.11,80.18,0.843,96.97006346812802
CHN,Asia,China,2021-02-01,100127,4818,NA,NA,NA,NA,NA,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,1.9,48.4,NA,4.34,76.91,0.752,0.3347405279501761
COL,South America,Colombia,2021-02-01,2104506,54272,10115267,5.7,NA,NA,NA,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,4.7,13.5,65.386,1.71,77.29,0.747,106.66062088776258
COM,Africa,Comoros,2021-02-01,2811,98,NA,NA,NA,NA,NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,4.4,23.6,15.574,2.2,64.32,0.503,11.269614015719961
COG,Africa,Congo,2021-02-01,7887,117,NA,NA,NA,NA,NA,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,1.7,52.3,47.964,NA,64.57,0.606,2.1202981030399637
CRI,North America,Costa Rica,2021-02-01,194569,2634,NA,NA,57701,NA,1.13,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,6.4,17.4,83.841,1.13,80.28,0.794,51.70673447826256
CIV,Africa,Cote d'Ivoire,2021-02-01,28475,156,346185,18.2,NA,NA,NA,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,NA,NA,19.351,NA,57.78,0.492,0.591395760336868
HRV,Europe,Croatia,2021-02-01,232520,5054,1193006,10.5,83928,NA,2.04,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,34.3,39.9,NA,5.54,78.49,0.831,123.11011120345857
CUB,North America,Cuba,2021-02-01,27592,216,1922930,19.8,NA,NA,NA,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,17.1,53.3,85.198,5.2,78.8,0.777,1.907012650556883
CYP,Europe,Cyprus,2021-02-01,30996,202,1434705,157.1,NA,NA,NA,875899,127.657,37.3,13.416,8.563,32415.132,NA,141.171,19.6,52.7,NA,3.4,80.98,0.869,23.06201970775169
CZE,Europe,Czechia,2021-02-01,987329,16392,NA,7.5,284250,NA,2.65,10708982,137.176,43.3,19.027,11.58,32605.906,NA,227.485,30.5,38.3,NA,6.63,79.38,0.888,153.06777058734434
COD,Africa,Democratic Republic of Congo,2021-02-01,22842,673,NA,5,NA,NA,NA,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,NA,NA,4.472,NA,60.68,0.457,0.751439760814826
DNK,Europe,Denmark,2021-02-01,199644,2146,13513893,213.6,285581,NA,4.93,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,19.3,18.8,NA,2.5,80.9,0.929,37.04980643806856
DJI,Africa,Djibouti,2021-02-01,5932,63,NA,NA,NA,NA,NA,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,1.7,24.5,NA,1.4,67.11,0.476,6.376505310717994
DMA,North America,Dominica,2021-02-01,117,NA,NA,NA,NA,NA,NA,71991,98.567,NA,NA,NA,9673.367,NA,227.376,NA,NA,NA,3.8,75,0.715,NA
DOM,North America,Dominican Republic,2021-02-01,215086,2688,1062607,5,NA,NA,NA,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.5,19.1,55.182,1.6,74.08,0.736,24.778980344958807
ECU,South America,Ecuador,2021-02-01,250986,14890,837041,NA,NA,NA,NA,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,2,12.3,80.635,1.5,77.01,0.752,84.39579075285127
EGY,Africa,Egypt,2021-02-01,166492,9360,NA,NA,NA,NA,NA,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,0.2,50.1,89.827,1.6,71.99,0.696,9.146484198476244
SLV,North America,El Salvador,2021-02-01,55195,1632,NA,NA,NA,NA,NA,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,2.5,18.8,90.65,1.3,73.32,0.674,25.161107403239587
GNQ,Africa,Equatorial Guinea,2021-02-01,5534,86,NA,NA,NA,NA,NA,1402985,45.194,22.4,2.846,1.752,22604.873,NA,202.812,NA,NA,24.64,2.1,58.74,0.591,6.1297875600950835
ERI,Africa,Eritrea,2021-02-01,2135,7,NA,NA,NA,NA,NA,3546427,44.304,19.3,3.607,2.171,1510.459,NA,311.11,0.2,11.4,NA,0.7,66.32,0.44,0.1973817591621088
EST,Europe,Estonia,2021-02-01,44575,422,781790,9.1,38594,NA,2.91,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,24.5,39.3,NA,4.69,78.74,0.871,31.812106541910943
SWZ,Africa,Eswatini,2021-02-01,15804,574,NA,NA,NA,NA,NA,1160164,79.492,21.5,3.163,1.845,7738.975,NA,333.436,1.7,16.5,24.097,2.1,60.19,0.588,49.47576377132888
ETH,Africa,Ethiopia,2021-02-01,138384,2103,NA,NA,NA,NA,NA,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,0.4,8.5,7.96,0.3,66.6,0.463,1.8292749278699847
FJI,Oceania,Fiji,2021-02-01,55,2,26217,NA,NA,NA,NA,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,10.2,34.8,NA,2.3,67.44,0.741,0.2231037298481556
FIN,Europe,Finland,2021-02-01,45482,677,2880383,37.5,163760,NA,2.96,5540718,18.136,42.8,21.228,13.264,40585.721,NA,153.507,18.3,22.6,NA,3.28,81.91,0.92,12.218633036368212
FRA,Europe,France,2021-02-01,3260308,76657,NA,14.9,1609072,NA,2.37,65273512,122.578,42,19.718,13.079,38605.671,NA,86.06,30.1,35.6,NA,5.98,82.66,0.901,117.43967445784132
GAB,Africa,Gabon,2021-02-01,10952,68,NA,NA,NA,NA,NA,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,NA,NA,NA,6.3,66.47,0.702,3.0551801477988323
GMB,Africa,Gambia,2021-02-01,4139,131,NA,NA,NA,NA,NA,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,0.7,31.2,7.876,1.1,62.05,0.46,5.4206956366296675
GEO,Asia,Georgia,2021-02-01,258351,3194,NA,NA,NA,NA,NA,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,5.3,55.5,NA,2.6,73.77,0.78,80.06668045397858
DEU,Europe,Germany,2021-02-01,2232327,58059,NA,NA,2624051,NA,3.13,83783945,237.016,46.6,21.453,15.957,45229.245,NA,156.139,28.2,33.1,NA,8,81.33,0.936,69.29609246735755
